HostID,CloudRegion,MemoryUtilization_Pct,NetworkThroughput_GB,HourlyCost_USD
HOST-00054,AWS_ap-northeast-1,48.9,87.43,0.64
HOST-00055,AWS_us-east-1,14.3,57.5,0.52
HOST-00056,Azure_westeurope,65.4,81.11,0.45
HOST-00057,AWS_ap-northeast-1,94.7,84.92,0.64
HOST-00058,AWS_us-east-1,49.4,81.08,0.52
HOST-00059,Azure_westeurope,41.6,73.67,0.45
HOST-00060,AWS_ap-northeast-1,66.3,6.77,0.64
HOST-00061,AWS_us-east-1,67.3,86.06,0.52
HOST-00062,Azure_westeurope,60.8,366.99,0.45
HOST-00063,AWS_ap-northeast-1,59.9,52.98,0.64
HOST-00064,AWS_us-east-1,18.2,33.28,0.52
HOST-00065,Azure_westeurope,94.8,66.15,0.45
HOST-00066,AWS_ap-northeast-1,64.2,85.21,0.64
HOST-00067,AWS_us-east-1,30.0,16.56,0.52
HOST-00068,Azure_westeurope,87.4,136.71,0.45
HOST-00069,AWS_ap-northeast-1,24.3,99.51,0.64
HOST-00070,AWS_us-east-1,39.0,26.52,0.52
HOST-00071,Azure_westeurope,55.4,81.16,0.45
HOST-00072,AWS_ap-northeast-1,41.4,20.4,0.64
HOST-00073,AWS_us-east-1,52.9,14.18,0.52
HOST-00074,Azure_westeurope,49.8,46.02,0.45
HOST-00075,AWS_ap-northeast-1,32.7,27.37,0.64
HOST-00076,AWS_us-east-1,70.0,86.74,0.52
HOST-00077,Azure_westeurope,19.1,9.61,0.45
HOST-00078,AWS_ap-northeast-1,24.1,31.48,0.64
HOST-00079,AWS_us-east-1,79.7,33.38,0.52
HOST-00080,Azure_westeurope,73.9,21.62,0.45
HOST-00081,AWS_ap-northeast-1,33.7,133.09,0.64
HOST-00082,AWS_us-east-1,82.7,209.75,0.52
HOST-00083,Azure_westeurope,72.9,20.27,0.45
HOST-00084,AWS_ap-northeast-1,87.8,20.92,0.64
HOST-00085,AWS_us-east-1,34.1,39.68,0.52
HOST-00086,Azure_westeurope,24.3,39.49,0.45
HOST-00087,AWS_ap-northeast-1,29.8,127.71,0.64
HOST-00088,AWS_us-east-1,79.8,95.82,0.52
HOST-00089,Azure_westeurope,82.5,12.65,0.45
HOST-00090,AWS_ap-northeast-1,17.9,119.63,0.64
HOST-00091,AWS_us-east-1,60.8,9.66,0.52
HOST-00092,Azure_westeurope,91.9,72.31,0.45
HOST-00093,AWS_ap-northeast-1,70.9,71.19,0.64
HOST-00094,AWS_us-east-1,15.0,17.64,0.52
HOST-00095,Azure_westeurope,61.1,19.78,0.45
HOST-00096,AWS_ap-northeast-1,92.8,22.3,0.64
HOST-00097,AWS_us-east-1,88.6,63.6,0.52
HOST-00098,Azure_westeurope,62.1,203.62,0.45
HOST-00099,AWS_ap-northeast-1,85.7,49.12,0.64
HOST-00100,AWS_us-east-1,27.2,29.84,0.52
HOST-00101,Azure_westeurope,89.2,99.42,0.45
HOST-00102,AWS_ap-northeast-1,35.8,22.89,0.64
HOST-00103,AWS_us-east-1,89.2,16.74,0.52
HOST-00104,Azure_westeurope,46.8,47.83,0.45
HOST-00105,AWS_ap-northeast-1,37.5,118.98,0.64
HOST-00106,AWS_us-east-1,64.6,83.77,0.52
HOST-00107,Azure_westeurope,64.2,34.0,0.45
HOST-00108,AWS_ap-northeast-1,66.4,110.28,0.64
HOST-00109,AWS_us-east-1,60.7,10.74,0.52
HOST-00110,Azure_westeurope,49.9,151.45,0.45
HOST-00111,AWS_ap-northeast-1,88.0,6.87,0.64
HOST-00112,AWS_us-east-1,68.6,51.59,0.52
HOST-00113,Azure_westeurope,46.1,13.78,0.45
HOST-00114,AWS_ap-northeast-1,69.9,144.19,0.64
HOST-00115,AWS_us-east-1,90.5,75.17,0.52
HOST-00116,Azure_westeurope,14.8,136.51,0.45
HOST-00117,AWS_ap-northeast-1,43.9,98.65,0.64
HOST-00118,AWS_us-east-1,23.2,30.64,0.52
HOST-00119,Azure_westeurope,89.4,48.65,0.45
HOST-00120,AWS_ap-northeast-1,69.2,37.56,0.64
HOST-00121,AWS_us-east-1,69.2,17.49,0.52
HOST-00122,Azure_westeurope,59.5,41.75,0.45
HOST-00123,AWS_ap-northeast-1,15.9,64.45,0.64
HOST-00124,AWS_us-east-1,90.5,13.82,0.52
HOST-00125,Azure_westeurope,85.4,16.18,0.45
HOST-00126,AWS_ap-northeast-1,82.3,116.8,0.64
HOST-00127,AWS_us-east-1,31.1,97.96,0.52
HOST-00128,Azure_westeurope,38.8,28.05,0.45
HOST-00129,AWS_ap-northeast-1,49.6,10.43,0.64
HOST-00130,AWS_us-east-1,93.8,22.47,0.52
HOST-00131,Azure_westeurope,25.8,19.92,0.45
HOST-00132,AWS_ap-northeast-1,51.1,51.39,0.64
HOST-00133,AWS_us-east-1,76.2,35.52,0.52
HOST-00134,Azure_westeurope,76.9,6.81,0.45
HOST-00135,AWS_ap-northeast-1,59.0,54.39,0.64
HOST-00136,AWS_us-east-1,51.8,34.51,0.52
HOST-00137,Azure_westeurope,67.6,14.42,0.45
HOST-00138,AWS_ap-northeast-1,35.1,39.1,0.64
HOST-00139,AWS_us-east-1,25.5,10.12,0.52
HOST-00140,Azure_westeurope,34.3,18.05,0.45
HOST-00141,AWS_ap-northeast-1,67.8,77.81,0.64
HOST-00142,AWS_us-east-1,35.2,16.16,0.52
HOST-00143,Azure_westeurope,29.7,106.51,0.45
HOST-00144,AWS_ap-northeast-1,23.9,13.68,0.64
HOST-00145,AWS_us-east-1,81.0,36.46,0.52
HOST-00146,Azure_westeurope,25.9,157.54,0.45
HOST-00147,AWS_ap-northeast-1,61.0,12.7,0.64
HOST-00148,AWS_us-east-1,80.3,150.13,0.52
HOST-00149,Azure_westeurope,65.2,55.55,0.45
HOST-00150,AWS_ap-northeast-1,64.3,42.7,0.64
HOST-00151,AWS_us-east-1,80.1,10.95,0.52
HOST-00152,Azure_westeurope,24.1,83.82,0.45
HOST-00153,AWS_ap-northeast-1,93.5,151.79,0.64
HOST-00154,AWS_us-east-1,20.1,52.17,0.52
HOST-00155,Azure_westeurope,71.3,56.33,0.45
HOST-00156,AWS_ap-northeast-1,74.5,5.42,0.64
HOST-00157,AWS_us-east-1,73.9,75.14,0.52
HOST-00158,Azure_westeurope,54.9,61.13,0.45
HOST-00159,AWS_ap-northeast-1,89.2,79.43,0.64
HOST-00160,AWS_us-east-1,19.6,51.9,0.52
HOST-00161,Azure_westeurope,25.2,65.09,0.45
HOST-00162,AWS_ap-northeast-1,20.5,51.53,0.64
HOST-00163,AWS_us-east-1,45.5,35.54,0.52
HOST-00164,Azure_westeurope,92.3,24.93,0.45
HOST-00165,AWS_ap-northeast-1,71.8,10.32,0.64
HOST-00166,AWS_us-east-1,37.6,47.44,0.52
HOST-00167,Azure_westeurope,83.1,75.42,0.45
HOST-00168,AWS_ap-northeast-1,22.4,223.57,0.64
HOST-00169,AWS_us-east-1,84.0,11.58,0.52
HOST-00170,Azure_westeurope,56.3,14.72,0.45
HOST-00171,AWS_ap-northeast-1,39.1,31.12,0.64
HOST-00172,AWS_us-east-1,68.2,61.96,0.52
HOST-00173,Azure_westeurope,93.0,59.35,0.45
HOST-00174,AWS_ap-northeast-1,23.5,8.34,0.64
HOST-00175,AWS_us-east-1,35.2,62.25,0.52
HOST-00176,Azure_westeurope,84.9,20.25,0.45
HOST-00177,AWS_ap-northeast-1,84.2,103.41,0.64
HOST-00178,AWS_us-east-1,68.8,103.05,0.52
HOST-00179,Azure_westeurope,92.4,79.75,0.45
HOST-00180,AWS_ap-northeast-1,22.8,10.56,0.64
HOST-00181,AWS_us-east-1,25.7,37.86,0.52
HOST-00182,Azure_westeurope,33.8,21.63,0.45
HOST-00183,AWS_ap-northeast-1,18.9,84.21,0.64
HOST-00184,AWS_us-east-1,77.7,22.36,0.52
HOST-00185,Azure_westeurope,94.3,47.58,0.45
HOST-00186,AWS_ap-northeast-1,18.5,15.6,0.64
HOST-00187,AWS_us-east-1,10.3,57.89,0.52
HOST-00188,Azure_westeurope,31.0,127.51,0.45
HOST-00189,AWS_ap-northeast-1,94.3,149.91,0.64
HOST-00190,AWS_us-east-1,65.4,54.4,0.52
HOST-00191,Azure_westeurope,82.5,10.39,0.45
HOST-00192,AWS_ap-northeast-1,27.8,82.92,0.64
HOST-00193,AWS_us-east-1,19.4,16.41,0.52
HOST-00194,Azure_westeurope,12.1,20.84,0.45
HOST-00195,AWS_ap-northeast-1,91.2,29.74,0.64
HOST-00196,AWS_us-east-1,51.1,65.72,0.52
HOST-00197,Azure_westeurope,15.6,41.31,0.45
HOST-00198,AWS_ap-northeast-1,27.0,65.31,0.64
HOST-00199,AWS_us-east-1,28.2,44.92,0.52
HOST-00200,Azure_westeurope,12.2,60.85,0.45
HOST-00201,AWS_ap-northeast-1,32.6,8.56,0.64
HOST-00202,AWS_us-east-1,80.1,8.31,0.52
HOST-00203,Azure_westeurope,12.4,118.12,0.45
HOST-00204,AWS_ap-northeast-1,26.0,45.34,0.64
HOST-00205,AWS_us-east-1,13.3,51.04,0.52
HOST-00206,Azure_westeurope,86.5,50.05,0.45
HOST-00207,AWS_ap-northeast-1,81.4,55.44,0.64
HOST-00208,AWS_us-east-1,26.2,38.18,0.52
HOST-00209,Azure_westeurope,77.8,60.53,0.45
HOST-00210,AWS_ap-northeast-1,83.8,32.15,0.64
HOST-00211,AWS_us-east-1,61.1,41.68,0.52
HOST-00212,Azure_westeurope,60.7,173.34,0.45
HOST-00213,AWS_ap-northeast-1,55.1,83.46,0.64
HOST-00214,AWS_us-east-1,28.8,19.82,0.52
HOST-00215,Azure_westeurope,17.5,8.8,0.45
HOST-00216,AWS_ap-northeast-1,48.1,99.6,0.64
HOST-00217,AWS_us-east-1,45.7,48.76,0.52
HOST-00218,Azure_westeurope,47.7,64.33,0.45
HOST-00219,AWS_ap-northeast-1,16.4,26.79,0.64
HOST-00220,AWS_us-east-1,33.8,50.65,0.52
HOST-00221,Azure_westeurope,27.4,262.05,0.45
HOST-00222,AWS_ap-northeast-1,85.0,21.03,0.64
HOST-00223,AWS_us-east-1,73.6,37.12,0.52
HOST-00224,Azure_westeurope,67.1,96.8,0.45
HOST-00225,AWS_ap-northeast-1,30.3,52.14,0.64
HOST-00226,AWS_us-east-1,24.1,23.67,0.52
HOST-00227,Azure_westeurope,40.8,214.07,0.45
HOST-00228,AWS_ap-northeast-1,72.2,135.21,0.64
HOST-00229,AWS_us-east-1,57.7,39.38,0.52
HOST-00230,Azure_westeurope,56.8,86.66,0.45
HOST-00231,AWS_ap-northeast-1,71.2,6.8,0.64
HOST-00232,AWS_us-east-1,15.6,90.66,0.52
HOST-00233,Azure_westeurope,25.9,16.71,0.45
HOST-00234,AWS_ap-northeast-1,62.4,5.08,0.64
HOST-00235,AWS_us-east-1,49.0,19.47,0.52
HOST-00236,Azure_westeurope,56.0,64.96,0.45
HOST-00237,AWS_ap-northeast-1,11.1,27.63,0.64
HOST-00238,AWS_us-east-1,51.4,18.85,0.52
HOST-00239,Azure_westeurope,53.4,54.17,0.45
HOST-00240,AWS_ap-northeast-1,67.6,30.67,0.64
HOST-00241,AWS_us-east-1,61.5,10.36,0.52
HOST-00242,Azure_westeurope,30.2,32.62,0.45
HOST-00243,AWS_ap-northeast-1,78.2,33.44,0.64
HOST-00244,AWS_us-east-1,59.2,14.88,0.52
HOST-00245,Azure_westeurope,60.6,24.72,0.45
HOST-00246,AWS_ap-northeast-1,38.9,34.49,0.64
HOST-00247,AWS_us-east-1,38.6,80.29,0.52
HOST-00248,Azure_westeurope,77.2,25.37,0.45
HOST-00249,AWS_ap-northeast-1,16.1,71.99,0.64
HOST-00250,AWS_us-east-1,92.4,56.19,0.52
HOST-00251,Azure_westeurope,34.5,50.49,0.45
HOST-00252,AWS_ap-northeast-1,26.5,97.52,0.64
HOST-00253,AWS_us-east-1,68.5,58.96,0.52
HOST-00254,Azure_westeurope,73.6,16.33,0.45
HOST-00255,AWS_ap-northeast-1,81.9,236.59,0.64
HOST-00256,AWS_us-east-1,37.7,41.35,0.52
HOST-00257,Azure_westeurope,46.6,44.22,0.45
HOST-00258,AWS_ap-northeast-1,79.0,52.75,0.64
HOST-00259,AWS_us-east-1,43.7,21.21,0.52
HOST-00260,Azure_westeurope,79.7,172.05,0.45
HOST-00261,AWS_ap-northeast-1,60.8,35.03,0.64
HOST-00262,AWS_us-east-1,95.0,57.97,0.52
HOST-00263,Azure_westeurope,23.8,46.46,0.45
HOST-00264,AWS_ap-northeast-1,84.1,9.55,0.64
HOST-00265,AWS_us-east-1,38.8,56.0,0.52
HOST-00266,Azure_westeurope,13.7,117.61,0.45
HOST-00267,AWS_ap-northeast-1,38.2,61.34,0.64
HOST-00268,AWS_us-east-1,54.6,43.83,0.52
HOST-00269,Azure_westeurope,45.0,13.05,0.45
HOST-00270,AWS_ap-northeast-1,49.1,78.39,0.64
HOST-00271,AWS_us-east-1,75.5,81.4,0.52
HOST-00272,Azure_westeurope,64.1,38.17,0.45
HOST-00273,AWS_ap-northeast-1,44.9,7.11,0.64
HOST-00274,AWS_us-east-1,58.2,11.39,0.52
HOST-00275,Azure_westeurope,22.6,52.53,0.45
HOST-00276,AWS_ap-northeast-1,53.8,205.81,0.64
HOST-00277,AWS_us-east-1,28.3,53.29,0.52
HOST-00278,Azure_westeurope,88.5,26.18,0.45
HOST-00279,AWS_ap-northeast-1,12.0,57.2,0.64
HOST-00280,AWS_us-east-1,87.7,41.08,0.52
HOST-00281,Azure_westeurope,42.8,56.1,0.45
HOST-00282,AWS_ap-northeast-1,29.7,47.03,0.64
HOST-00283,AWS_us-east-1,60.8,73.22,0.52
HOST-00284,Azure_westeurope,47.2,203.46,0.45
HOST-00285,AWS_ap-northeast-1,91.5,31.61,0.64
HOST-00286,AWS_us-east-1,18.2,11.16,0.52
HOST-00287,Azure_westeurope,41.8,70.78,0.45
HOST-00288,AWS_ap-northeast-1,36.6,33.3,0.64
HOST-00289,AWS_us-east-1,62.8,45.73,0.52
HOST-00290,Azure_westeurope,11.6,147.06,0.45
HOST-00291,AWS_ap-northeast-1,22.9,104.57,0.64
HOST-00292,AWS_us-east-1,52.9,35.72,0.52
HOST-00293,Azure_westeurope,83.5,21.47,0.45
HOST-00294,AWS_ap-northeast-1,79.7,22.43,0.64
HOST-00295,AWS_us-east-1,42.7,68.01,0.52
HOST-00296,Azure_westeurope,88.5,163.38,0.45
HOST-00297,AWS_ap-northeast-1,35.6,15.2,0.64
HOST-00298,AWS_us-east-1,63.5,20.37,0.52
HOST-00299,Azure_westeurope,73.2,17.84,0.45
HOST-00300,AWS_ap-northeast-1,10.2,38.99,0.64
HOST-00301,AWS_us-east-1,65.2,93.35,0.52
HOST-00302,Azure_westeurope,72.1,153.27,0.45
HOST-00303,AWS_ap-northeast-1,84.9,85.44,0.64
HOST-00304,AWS_us-east-1,74.9,27.57,0.52
HOST-00305,Azure_westeurope,13.0,35.11,0.45
HOST-00306,AWS_ap-northeast-1,83.7,49.69,0.64
HOST-00307,AWS_us-east-1,71.0,81.54,0.52
HOST-00308,Azure_westeurope,73.7,75.62,0.45
HOST-00309,AWS_ap-northeast-1,69.7,8.91,0.64
HOST-00310,AWS_us-east-1,36.0,106.65,0.52
HOST-00311,Azure_westeurope,82.1,35.5,0.45
HOST-00312,AWS_ap-northeast-1,57.9,9.45,0.64
HOST-00313,AWS_us-east-1,22.8,23.81,0.52
HOST-00314,Azure_westeurope,64.3,121.75,0.45
HOST-00315,AWS_ap-northeast-1,17.8,181.46,0.64
HOST-00316,AWS_us-east-1,24.3,79.24,0.52
HOST-00317,Azure_westeurope,63.3,132.43,0.45
HOST-00318,AWS_ap-northeast-1,24.5,35.3,0.64
HOST-00319,AWS_us-east-1,37.8,50.51,0.52
HOST-00320,Azure_westeurope,63.1,16.39,0.45
HOST-00321,AWS_ap-northeast-1,82.2,64.57,0.64
HOST-00322,AWS_us-east-1,42.7,29.64,0.52
HOST-00323,Azure_westeurope,19.8,73.82,0.45
HOST-00324,AWS_ap-northeast-1,14.6,66.92,0.64
HOST-00325,AWS_us-east-1,70.7,92.59,0.52
HOST-00326,Azure_westeurope,48.7,21.78,0.45
HOST-00327,AWS_ap-northeast-1,75.6,28.65,0.64
HOST-00328,AWS_us-east-1,65.2,18.13,0.52
HOST-00329,Azure_westeurope,67.9,71.33,0.45
HOST-00330,AWS_ap-northeast-1,46.7,9.4,0.64
HOST-00331,AWS_us-east-1,68.7,13.32,0.52
HOST-00332,Azure_westeurope,83.8,18.47,0.45
HOST-00333,AWS_ap-northeast-1,65.7,52.38,0.64
HOST-00334,AWS_us-east-1,85.3,62.26,0.52
HOST-00335,Azure_westeurope,51.6,49.07,0.45
HOST-00336,AWS_ap-northeast-1,78.2,45.74,0.64
HOST-00337,AWS_us-east-1,12.4,38.1,0.52
HOST-00338,Azure_westeurope,91.7,25.23,0.45
HOST-00339,AWS_ap-northeast-1,30.2,48.05,0.64
HOST-00340,AWS_us-east-1,17.1,50.43,0.52
HOST-00341,Azure_westeurope,10.3,21.16,0.45
HOST-00342,AWS_ap-northeast-1,66.2,70.69,0.64
HOST-00343,AWS_us-east-1,69.5,28.21,0.52
HOST-00344,Azure_westeurope,90.3,6.74,0.45
HOST-00345,AWS_ap-northeast-1,59.9,8.9,0.64
HOST-00346,AWS_us-east-1,41.1,15.21,0.52
HOST-00347,Azure_westeurope,37.9,25.09,0.45
HOST-00348,AWS_ap-northeast-1,22.6,72.41,0.64
HOST-00349,AWS_us-east-1,85.4,20.19,0.52
HOST-00350,Azure_westeurope,40.2,42.99,0.45
HOST-00351,AWS_ap-northeast-1,14.6,5.99,0.64
HOST-00352,AWS_us-east-1,24.5,30.11,0.52
HOST-00353,Azure_westeurope,47.4,47.35,0.45
HOST-00354,AWS_ap-northeast-1,44.7,36.07,0.64
HOST-00355,AWS_us-east-1,55.4,45.88,0.52
HOST-00356,Azure_westeurope,57.7,39.82,0.45
HOST-00357,AWS_ap-northeast-1,50.1,33.53,0.64
HOST-00358,AWS_us-east-1,71.4,85.19,0.52
HOST-00359,Azure_westeurope,48.9,13.97,0.45
HOST-00360,AWS_ap-northeast-1,80.3,57.6,0.64
HOST-00361,AWS_us-east-1,34.5,141.39,0.52
HOST-00362,Azure_westeurope,48.4,26.58,0.45
HOST-00363,AWS_ap-northeast-1,11.4,110.11,0.64
HOST-00364,AWS_us-east-1,44.5,59.27,0.52
HOST-00365,Azure_westeurope,48.5,65.12,0.45
HOST-00366,AWS_ap-northeast-1,43.0,47.91,0.64
HOST-00367,AWS_us-east-1,22.8,75.28,0.52
HOST-00368,Azure_westeurope,45.6,62.45,0.45
HOST-00369,AWS_ap-northeast-1,40.0,19.37,0.64
HOST-00370,AWS_us-east-1,85.9,22.41,0.52
HOST-00371,Azure_westeurope,79.9,31.07,0.45
HOST-00372,AWS_ap-northeast-1,60.1,176.43,0.64
HOST-00373,AWS_us-east-1,27.5,103.19,0.52
HOST-00374,Azure_westeurope,60.0,30.72,0.45
HOST-00375,AWS_ap-northeast-1,14.3,13.34,0.64
HOST-00376,AWS_us-east-1,87.5,22.18,0.52
HOST-00377,Azure_westeurope,31.6,127.61,0.45
HOST-00378,AWS_ap-northeast-1,80.1,164.63,0.64
HOST-00379,AWS_us-east-1,50.1,59.17,0.52
HOST-00380,Azure_westeurope,30.8,27.62,0.45
HOST-00381,AWS_ap-northeast-1,45.9,13.05,0.64
HOST-00382,AWS_us-east-1,94.8,24.84,0.52
HOST-00383,Azure_westeurope,77.7,17.02,0.45
HOST-00384,AWS_ap-northeast-1,81.1,96.59,0.64
HOST-00385,AWS_us-east-1,53.2,241.81,0.52
HOST-00386,Azure_westeurope,30.1,25.72,0.45
HOST-00387,AWS_ap-northeast-1,37.2,64.32,0.64
HOST-00388,AWS_us-east-1,77.4,95.0,0.52
HOST-00389,Azure_westeurope,91.3,6.1,0.45
HOST-00390,AWS_ap-northeast-1,69.5,34.75,0.64
HOST-00391,AWS_us-east-1,82.0,97.31,0.52
HOST-00392,Azure_westeurope,57.9,43.25,0.45
HOST-00393,AWS_ap-northeast-1,24.4,5.4,0.64
HOST-00394,AWS_us-east-1,56.5,191.93,0.52
HOST-00395,Azure_westeurope,60.8,105.37,0.45
HOST-00396,AWS_ap-northeast-1,21.4,54.52,0.64
HOST-00397,AWS_us-east-1,52.8,30.06,0.52
HOST-00398,Azure_westeurope,36.4,70.21,0.45
HOST-00399,AWS_ap-northeast-1,86.4,22.1,0.64
HOST-00400,AWS_us-east-1,88.9,53.96,0.52
HOST-00401,Azure_westeurope,90.8,72.64,0.45
HOST-00402,AWS_ap-northeast-1,61.6,51.59,0.64
HOST-00403,AWS_us-east-1,77.0,5.5,0.52
HOST-00404,Azure_westeurope,89.3,5.47,0.45
HOST-00405,AWS_ap-northeast-1,64.2,24.2,0.64
HOST-00406,AWS_us-east-1,13.3,74.25,0.52
HOST-00407,Azure_westeurope,28.7,62.45,0.45
HOST-00408,AWS_ap-northeast-1,30.2,138.31,0.64
HOST-00409,AWS_us-east-1,37.8,69.96,0.52
HOST-00410,Azure_westeurope,79.7,93.03,0.45
HOST-00411,AWS_ap-northeast-1,80.3,207.74,0.64
HOST-00412,AWS_us-east-1,61.5,29.32,0.52
HOST-00413,Azure_westeurope,11.2,64.05,0.45
HOST-00414,AWS_ap-northeast-1,77.9,54.54,0.64
HOST-00415,AWS_us-east-1,60.4,6.19,0.52
HOST-00416,Azure_westeurope,61.4,34.39,0.45
HOST-00417,AWS_ap-northeast-1,14.0,50.14,0.64
HOST-00418,AWS_us-east-1,88.6,7.41,0.52
HOST-00419,Azure_westeurope,92.7,28.89,0.45
HOST-00420,AWS_ap-northeast-1,16.2,152.36,0.64
HOST-00421,AWS_us-east-1,31.8,66.92,0.52
HOST-00422,Azure_westeurope,44.4,46.41,0.45
HOST-00423,AWS_ap-northeast-1,78.9,83.62,0.64
HOST-00424,AWS_us-east-1,90.9,106.8,0.52
HOST-00425,Azure_westeurope,18.6,41.63,0.45
HOST-00426,AWS_ap-northeast-1,31.9,77.01,0.64
HOST-00427,AWS_us-east-1,11.2,11.65,0.52
HOST-00428,Azure_westeurope,45.3,98.63,0.45
HOST-00429,AWS_ap-northeast-1,34.1,37.4,0.64
HOST-00430,AWS_us-east-1,51.4,311.68,0.52
HOST-00431,Azure_westeurope,68.5,14.04,0.45
HOST-00432,AWS_ap-northeast-1,55.5,83.45,0.64
HOST-00433,AWS_us-east-1,10.2,22.58,0.52
HOST-00434,Azure_westeurope,12.8,58.2,0.45
HOST-00435,AWS_ap-northeast-1,58.0,36.83,0.64
HOST-00436,AWS_us-east-1,68.2,10.39,0.52
HOST-00437,Azure_westeurope,29.8,41.34,0.45
HOST-00438,AWS_ap-northeast-1,75.1,61.75,0.64
HOST-00439,AWS_us-east-1,63.4,28.37,0.52
HOST-00440,Azure_westeurope,50.4,47.22,0.45
HOST-00441,AWS_ap-northeast-1,77.9,57.67,0.64
HOST-00442,AWS_us-east-1,59.4,162.66,0.52
HOST-00443,Azure_westeurope,90.1,6.18,0.45
HOST-00444,AWS_ap-northeast-1,60.8,41.76,0.64
HOST-00445,AWS_us-east-1,30.3,27.41,0.52
HOST-00446,Azure_westeurope,15.7,14.85,0.45
HOST-00447,AWS_ap-northeast-1,17.6,36.2,0.64
HOST-00448,AWS_us-east-1,94.8,30.12,0.52
HOST-00449,Azure_westeurope,83.6,56.41,0.45
HOST-00450,AWS_ap-northeast-1,92.9,24.34,0.64
HOST-00451,AWS_us-east-1,12.2,53.55,0.52
HOST-00452,Azure_westeurope,66.3,15.41,0.45
HOST-00453,AWS_ap-northeast-1,72.9,21.88,0.64
HOST-00454,AWS_us-east-1,76.6,79.04,0.52
HOST-00455,Azure_westeurope,46.3,39.54,0.45
HOST-00456,AWS_ap-northeast-1,20.8,12.2,0.64
HOST-00457,AWS_us-east-1,52.6,45.32,0.52
HOST-00458,Azure_westeurope,64.8,111.74,0.45
HOST-00459,AWS_ap-northeast-1,91.0,191.54,0.64
HOST-00460,AWS_us-east-1,75.3,13.94,0.52
HOST-00461,Azure_westeurope,50.7,8.37,0.45
HOST-00462,AWS_ap-northeast-1,80.8,6.0,0.64
HOST-00463,AWS_us-east-1,64.9,43.56,0.52
HOST-00464,Azure_westeurope,11.4,39.5,0.45
HOST-00465,AWS_ap-northeast-1,38.3,23.58,0.64
HOST-00466,AWS_us-east-1,31.3,156.23,0.52
HOST-00467,Azure_westeurope,44.3,64.97,0.45
HOST-00468,AWS_ap-northeast-1,45.7,96.07,0.64
